"publication_ID","relatedItem_1_titleInfo_title","identifier_#text","state","year","volume","number","titleInfo_title"
"16508890","The Herald","bta_16508890_GA_1949_016_001","GA","1949","016","001","Vol. 16, No. 1"
"30786193","The American Teacher Association Bulletin","bta_30786193_US_1941_018_003","US","1941","018","003","Vol. 18, No. 3"
"16508890","The Herald","bta_16508890_GA_1956-1957_033_006","GA","1956-1957","033","006","Vol. 33, No. 6"
"16508890","The Herald","bta_16508890_GA_1956_023_004","GA","1956","023","004","Vol. 23, No. 4"
"16508890","The Herald","bta_16508890_GA_1956_023_003","GA","1956","023","003","Vol. 23, No. 3"
"16508890","The Herald","bta_16508890_GA_1955_023_002","GA","1955","023","002","Vol. 23, No. 2"
"16508890","The Herald","bta_16508890_GA_1954_022_001","GA","1954","022","001","Vol. 22, No. 1"
"16508890","The Herald","bta_16508890_GA_1953_020_004","GA","1953","020","004","Vol. 20, No. 4"
"16508890","The Herald","bta_16508890_GA_1953_020_003","GA","1953","020","003","Vol. 20, No. 3"
"16508890","The Herald","bta_16508890_GA_1951_017_003","GA","1951","017","003","Vol. 17, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1960_028_004","AK","1960","028","004","Vol. 28, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1944_016_001","AK","1944","016","001","Vol. 16, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1958_026_005","AK","1958","026","005","Vol. 26, No. 5"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1958_026_004","AK","1958","026","004","Vol. 26, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1944_016_002","AK","1944","016","002","Vol. 16 No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1960_028_003","AK","1960","028","003","Vol. 28, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1943_015_001","AK","1943","015","001","Vol. 15, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1953_023_008","AK","1953","023","008","Vol. 23, No. 7"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1961_029_003","AK","1961","029","003","Vol. 29, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1960_029_002","AK","1960","029","002","Vol. 29, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1956_025_002","AK","1956","025","002","Vol. 25, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1954_023_011","AK","1954","023","011","Vol. 23, No. 11"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1956_025_001","AK","1956","025","001","Vol. 25, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1956_025_003","AK","1956","025","003","Vol. 25, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1952_023_006","AK","1952","023","006","Vol. 23, No. 6"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1955_024_003","AK","1955","024","003","Vol. 24, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1955_024_004","AK","1955","024","004","Vol. 24, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1953_023_007","AK","1953","023","007","Vol. 23, No. 8"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1956_025_004","AK","1956","025","004","Vol. 25, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1958_027_001","AK","1958","027","001","Vol. 27, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1959_028_002","AK","1959","028","002","Vol. 28, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1957_026_003","AK","1957","026","003","Vol. 26, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1945_017_001","AK","1945","017","001","Vol. 17, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1943_015_002","AK","1943","015","002","Vol. 15, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1943_015_004","AK","1943","015","004","Vol. 15, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1952_023_005","AK","1952","023","005","Vol. 23, No. 5"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1957_026_001","AK","1957","026","001","Vol. 25, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1958_027_002","AK","1958","027","002","Vol. 27, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1941_013_001","AK","1941","013","001","Vol. 13, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1941_013_001","AR","1941","013","001","Vol. 13, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AK_1959_027_004","AK","1959","027","004","Vol. 27, No. 4"
,"Georgia Publications",,,,,,"Guide to developing an inclusive integration plan"
"1296389890",,"bta_1296389890_TX_1961_035_003","TX","1961","035","003","Vol. 35, No. 3"
"1296389890",,"bta_1296389890_TX_1961_035_002","TX","1961","035","002","Vol. 35, No. 2"
"1296389890",,"bta_1296389890_TX_1961_035_001","TX","1961","035","001","Vol. 35, No. 1"
"1296389890",,"bta_1296389890_TX_1960_034_005","TX","1960","034","005","Vol. 34, No. 5"
"1296389890","Texas Standard","bta_1296389890_TX_1960_034_004","TX","1960","034","004","Vol. 34, No. 4"
"1296389890","Texas Standard","bta_1296389890_TX_1960_034_003","TX","1960","034","003","Vol. 34, No. 3"
"1296389890","Texas Standard","bta_1296389890_TX_1960_034_002","TX","1960","034","002","Vol. 34, No. 2"
"1296389890","Texas Standard","bta_1296389890_TX_1960_034_001","TX","1960","034","001","Vol. 34, No. 1"
"1296389890",,"bta_1296389890_TX_1959_033_004","TX","1959","033","004","Vol. 33, No. 4"
"1296389890",,"bta_1296389890_TX_1959_033_003","TX","1959","033","003","Vol. 33, No. 3"
"1296389890",,"bta_1296389890_TX_1959_033_002","TX","1959","033","002","Vol. 33, No. 2"
"1296389890",,"bta_1296389890_TX_1959_033_001","TX","1959","033","001","Vol. 33, No. 1"
"1296389890",,"bta_1296389890_TX_1958_032_005","TX","1958","032","005","Vol. 32, No. 5"
"1296389890",,"bta_1296389890_TX_1958_032_004","TX","1958","032","004","Vol. 32, No. 4"
"1296389890",,"bta_1296389890_TX_1958_032_003","TX","1958","032","003","Vol. 32, No. 3"
"1296389890",,"bta_1296389890_TX_1958_032_002","TX","1958","032","002","Vol. 32, No. 2"
"1296389890",,"bta_1296389890_TX_1958_032_001","TX","1958","032","001","Vol. 31, No. 6 [i.e. v.32, no.1]"
"1296389890",,"bta_1296389890_TX_1958_recommendation_02","TX","1958","recommendation","02","Recommendations of the Texas State Teachers Association legislative committee"
"1296389890",,"bta_1296389890_TX_1958_recommendation_01","TX","1958","recommendation","01","Recommendations of the President"
"1296389890",,"bta_1296389890_TX_1957_031_005","TX","1957","031","005","Vol. 31, No. 5"
"1296389890",,"bta_1296389890_TX_1957_031_004","TX","1957","031","004","Vol. 31, No. 4"
"1296389890",,"bta_1296389890_TX_1957_031_003","TX","1957","031","003","Vol. 31, No. 3"
"1296389890",,"bta_1296389890_TX_1957_031_002","TX","1957","031","002","Vol. 31, No. 2"
"1296389890",,"bta_1296389890_TX_1957_031_001","TX","1957","031","001","Vol. 31, No. 1"
"1296389890",,"bta_1296389890_TX_1956_030_004","TX","1956","030","004","Vol. 30, No. 4"
"1296389890",,"bta_1296389890_TX_1956_030_003","TX","1956","030","003","Vol. 30, No. 3"
"1296389890",,"bta_1296389890_TX_1956_030_002","TX","1956","030","002","Vol. 30, No. 2"
"1296389890",,"bta_1296389890_TX_1956_030_001","TX","1956","030","001","Vol. 30, No. 1"
"1296389890",,"bta_1296389890_TX_1955_029_004","TX","1955","029","004","Vol. 29, No. 4"
"1296389890",,"bta_1296389890_TX_1955_029_003","TX","1955","029","003","Vol. 29, No. 3"
"1296389890",,"bta_1296389890_TX_1955_029_002","TX","1955","029","002","Vol. 29, No. 2"
"1296389890",,"bta_1296389890_TX_1955_029_001","TX","1955","029","001","Vol. 29, No. 1"
"1296389890",,"bta_1296389890_TX_1954_028_005","TX","1954","028","005","Vol. 28, No. 5"
"1296389890",,"bta_1296389890_TX_1954_028_004","TX","1954","028","004","Vol. 28, No. 4"
"1296389890",,"bta_1296389890_TX_1954_028_003","TX","1954","028","003","Vol. 28, No. 3"
"1296389890",,"bta_1296389890_TX_1954_028_002","TX","1954","028","002","Vol. 28, No. 2"
"1296389890",,"bta_1296389890_TX_1954_028_001","TX","1954","028","001","Vol. 28, No. 1"
"1296389890","Texas Standard","bta_1296389890_TX_1953_027_004","TX","1953","027","004","Vol. 27, No. 4"
"1296389890",,"bta_1296389890_TX_1961_035_004","TX","1961","035","004","Vol. 35, No. 4"
"1296389890",,"bta_1296389890_TX_1961_035_005","TX","1961","035","005","Vol. 35, No. 4 [i.e, No.5]"
"1296389890",,"bta_1296389890_TX_1962_036_001","TX","1962","036","001","Vol. 35, No. 5 [i.e. v.36, no.1]"
"1296389890",,"bta_1296389890_TX_1962_convention","TX","1962","convention",,"78th Annual Convention"
